source_id,target_id,relationType,method
https://doi.org/10.3189/002214311798043708,doi:10.18739/A2BR8MF81,isReferencedBy,abstract_search_1
10.1127/0941-2948/2006/0167,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
10.1029/2018JG004444,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
https://doi.org/10.1073/pnas.1516017113,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
10.1016/j.agrformet.2016.07.008,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
10.1007/s11104-014-2377-1,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
https://doi.org/10.3390/rs9121227,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
https://doi.org/10.3390/rs8120978,doi:10.18739/A2X34MS1B,isReferencedBy,abstract_search_1
doi:10.1029/2012JD018603,doi:10.18739/A2TH15,isReferencedBy,abstract_search_1
https://doi.org/10.1186/s40665-016-0017-0,doi:10.18739/A2WM13T76,isReferencedBy,abstract_search_1
https://doi.org/10.3189/2014JoG13J141,doi:10.18739/A2JK2R,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.dsr2.2009.08.012,doi:10.5065/D6GB223N,isReferencedBy,abstract_search_1
https://doi.org/10.1073/pnas.1807172115,doi:10.18739/A2J09W45H,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2016JC011994,doi:10.18739/A2VH5CJ35,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2016JC011995,doi:10.18739/A2G05D,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2016JC011996,doi:10.18739/A2KS8D,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2016JC011997,doi:10.18739/A21W73,isReferencedBy,abstract_search_1
https://doi.org/10.1002/eap.2143,doi:10.18739/A2B56D49C,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.gca.2018.08.004,doi:10.18739/A2VD6P488,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2018JG004458,doi:10.18739/A2VD6P489,isReferencedBy,abstract_search_1
http://doi.org/10.12952/journal.elementa.000120,doi:10.18739/A2J09W48Z,isReferencedBy,abstract_search_1
https://doi.org/10.1007/s00300-017-2131-2,doi:10.18739/A2NZ80Q43,isReferencedBy,abstract_search_1
10.1111/1462-2920.13371,doi:10.18739/A2NZ80Q44,isReferencedBy,abstract_search_1
https://doi.org/10.1111/1462-2920.13216,doi:10.18739/A2NZ80Q45,isReferencedBy,abstract_search_1
https://doi.org/10.1175/JPO-D-18-0028.1,doi:10.18739/A2N29P63K,isReferencedBy,abstract_search_1
https://doi.org/10.1130/G33365.1,doi:10.18739/A20K2699N,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2000JC000445,urn:uuid:281ee5ec-11cd-47ce-a166-d4d7951112bc,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2001JC000805,,isReferencedBy,abstract_search_1
10.1144/SP344.9,doi:10.18739/A2736M17X,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2013JF002845,doi:10.18739/A2CZ54,isReferencedBy,abstract_search_1
10.5194/tc-10-2517-2016,doi:10.18739/A23N20D37,isReferencedBy,abstract_search_1
https://doi.org/10.5194/bg-14-4279-2017,doi:10.5065/D6NG4NP0,isReferencedBy,abstract_search_1
doi:10.1002/2017WR021868,urn:uuid:3a4acc5d-8661-42f2-9003-2e36ff72123e,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2018GL078140,urn:uuid:3a4acc5d-8661-42f2-9003-2e36ff72123e,isReferencedBy,abstract_search_1
doi:10.5194/bg-12-6669-2015,urn:uuid:3a4acc5d-8661-42f2-9003-2e36ff72123e,isReferencedBy,abstract_search_1
https://doi.org/10.1175/JPO-D-17-0181.1,doi:10.18739/A22J6846K,isReferencedBy,abstract_search_1
https://doi.org/10.1017/jog.2019.43,doi:10.18739/A22J6846K,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000822,doi:10.18739/A2HD7NS94,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000823,doi:10.18739/A26688K02,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000824,doi:10.18739/A2445HC6Q,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000825,doi:10.18739/A2CN6Z04X,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000826,doi:10.18739/A27W67605,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000827,doi:10.18739/A2N58CM2D,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000828,doi:10.18739/A2RX93D5R,isReferencedBy,abstract_search_1
https://doi.org/10.1029/2008GM000829,doi:10.18739/A20C4SK32,isReferencedBy,abstract_search_1
https://doi.org/10.1175/JPO-D-16-0161.1,doi:10.18739/A2XS5JH16,isReferencedBy,abstract_search_1
https://doi.org/10.1175/JPO-D-17-0181.1,,isReferencedBy,abstract_search_1
https://doi.org/10.1038/nclimate1858,doi:10.18739/A2V935,isReferencedBy,abstract_search_1
https://doi.org/10.1002/ppp.709,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.gca.2014.11.008,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2015GL066296,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1016/j.earscirev.2010.04.002,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
doi:10.1029/2006JF000531,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
doi:10.1029/2005GL024960,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1139/X10-060,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
https://doi.org/10.1002/2015JF003602,doi:10.18739/A2DV1CP1W,isReferencedBy,abstract_search_1
